sadistic,Cruel
plea,request
gallant,brave,behaves well with women"
impermeable,that cannot be permeated
shunned,avoided, kept away from"
fleet,number of ships; quick-moving
succumb,yield, die"
luminary,star; light-giving body
euphoria,elation state of pleasant excitement
enzyme,catalyst
legacy,Bequest or inheritance
Lambaste,attack verbally
limp,lacking strength; walking unevenly
solvent,of the power of forming a solution
vivacious,lively high-spirited
stray,wander lose one's way
liberality,free giving; generosity
retrograde,receding
recitals,a number of performance of music
clientele,customers
redeem,get back by payment compensate
alloy,to debase by mixing with something inferior
narcissism,Self-love
inclined,directing the mind in a certain direction
audacious,Bold
misanthrope,person who hates mankind
agile,active; quick-moving
foolproof,incapable of failure or error
perjury,willful FALSE statement unlawful act
renovate,restore something to better condition
auxiliary,helping; supporting
concur,agree in opinion happen together
brittle,easily broken
dwarf,person much smaller the usual size
antidote,medicine used against a poison or a disease
extinct,no longer active
sluggard,lazy slow-moving person
presentiment,anticipatory fear; premonition
defer,postpone
hypocrisy,falsely making oneself appear to be good
grievous,causing grief or pain; serious dire grave
sporadic,happening from time to time
endeavor,to make an effort, to try very hard"
arrogance,proud; superior manner of behaviour
reiterate,say or do again several times
vigorous,strong energetic
cryptic,secret with a hidden meaning
gullible,easily gulled
abstruse,difficult to comprehend; obscure
enduring,lasting
impede,hinder; get in the way of
moribund,in a dying state; near death
acclaimed,welcomed with shouts and approval
ambidextrous,able to use the left hand or the right equally well
patron,regular customer person who gives support
cumbersome,burdensome; heavy and awkward to carry
adorn,add beauty; decorate
sanction,approval (by authority) penalty
warrant,authority written order guarantee
satiate,satisfy fully
somersault,rolling backward or forward (not sideways) movement
commuter,person who travels regularly
extralegal,outside the law
incongruous,out of place; not in harmony or agreement
moderation,quality of being limited; not extreme
offhand,Without preparation or forethought
skit,short piece of humorous writing
eradicate,get rid of pull up by the roots
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
shallow,little depth; not earnest
loll,rest to sit or stand in a lazy way hang (dog's tongue)
edible,fit to be eaten/not poisonous
indistinct,not easily heard; seen clearly marked
knit,draw together; unite firmly
centurion,leader of a unit of 100 soldiers
conceal,hide keep secret
arcane,known or understood by very few
introvert,one who turns towards himself
partisan,one-sided committed to a party biased or prejudiced
sequence,succession connected line of
chortle,loud chuckle of pleasure or amusement
beguile,mislead or delude; cheat; pass time
yarn,tale story fibers for knitting
enigma,something that is puzzling
flop,fail/move/fall clumsily
steeply,rising or falling sharply
dote,show much fondness center one's attention
philanthropist,one who loves mankind
fragrant,sweet-smelling
anguish,severe suffering
misogynist,one who hates women/females
pest,destructive thing or a person who is nuisance
connoisseur,a person with good judgement (e.g.. in art)
spear,weapon with a metal point on a long shaft
immutable,that cannot be changed
adulteration,making unpure; poorer in quality
turbulence,being uncontrollably violent
salvage,the saving of property from loss
ail,to cause pain, uneasiness, or trouble to."
ascend,go or come up
animosity,strong dislike
woo,try to win
dislodge,move force from the place occupied
garrulous,too talkative
bogus,sham; counterfeit; not genuine
opaqueness,dullness/not allowing light to pass through
heterogeneous,made up of different kinds
dangle,hand or swing loosely
constrict,make tight or smaller
shard,A piece of broken pottery
fidelity,loyalty accuracy
complaisant,trying to please; obliging
alleviate,make (pain) easier to bear
curriculum,course of study
asterisk,the mark * (e.g.. omitted letters)
ossified,turned to bone; hardened like bone; Inflexible
sheath,cover for the blade of a weapon or a tool
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
sophisticated,complex; subtle; refined
invincible,too strong to be defeated
introspection,examining one's own thoughts and feelings
elaborate,worked out with much care in great detail
extinguish,end the existence of/wipe or put out
accolade,praise; approval
appease,make quiet or calm
encapsulate,enclose in capsule
suffice,be enough
implicit,implied though; not plainly expressed
judicious,sound in judgment; wise
surcharge,additional load/charge
pluck,pull the feathers off pick (e.g.. flowers)
precursors,a person or thing that precedes, as in a process or job."
turmoil,trouble disturbance
colloquial,involving or using conversation.
eloquence,fluent speaking skillful use of language
timid,shy easily frightened
strive,to make great efforts, to struggle"
livid,Furiously angry, enraged"
cordial,warm and sincere
scent,smell (especially pleasant)
benefactor,person who has given help
correlate,have a mutual relation
reminiscent,suggest something in the past
impromptu,without preparation
bewilder,puzzle; confuse
edify,instruct; correct morally
nihilism,total rejection of all religious and moral beliefs
sanity,health of mind soundness of judgment
disrobe,undress
derivative,unoriginal; obtained from another source
refine,make or become pure cultural
unscathed,unharmed unhurt
abysmal,extreme bad
ambivalent,having both of two contrary meanings
parenthesis,sentence within another one something separated
sobriety,quality or condition of being sober
predominate,have more power than others
tractable,easily controlled or guided
malevolent,malicious; evil; having or showing ill will
odor,smell
mite,A very small amount, portion, or particle"
resuscitation,coming back to consciousness
abide,be faithful; to endure
malleable,yielding easily shaped; moldable; adapting
repel,refuse to accept/cause dislike
indigenous,native
mesmerize,hypnotize
coagulation,change to a thick and solid state
ameliorate,improve; make better
reconcile,settle a quarrel restore peace
ambiguous,doubtful; uncertain
divergence,getting farther apart from a point
sponge,porous rubber for washing live at once expense
eulogy,formal praise panegyric
dupe,cheat make a fool of
jabber,talk excitedly; utter rapidly
ingest,take in by swallowing
pilferer,to steal, especially in small quantities"
sawdust,tiny bits of wood
dexterity,skill (esp. in handling)
disproof,proof to the contrary
clot,half-solid lump formed from liquid
superimpose,put something on the top
brass,yellow metal (mixing copper and zinc)
tonic,something giving strength or energy
riddle,puzzling person or thing
catalyst,substance that causes speeding up
volatile,changeable inconstant fickle unstable explosive
engulf,swallow up
entice,attract, lure"
amalgamate,mix; combine; unite societies
calipers,metal supports attached to the legs measuring instrument
endorse,write one's name on the back of
evasive,tending to evade
hospitable,liking to give hospitality
allegiance,duty support loyalty
repulsive,causing a feeling of disgust
embezzle,use in a wrong way for one's own benefit
forgery,counterfeit
yeoman,man owning small estate; middle-class farmer
disallow,refuse to allow or accept as a correct
recuperate,become strong after illness loss exhaustion
submerge,put under water liquid sink out of sight
pertain,belong as a part have reference
aberration,straying away from what is normal
apartheid,brutal racial discrimination
gait,a manner of walking, stepping, or running"
evoke,call up bring out
foster,nurture; care for
braggart,boastful
drowsiness,feeling sleepy half asleep
implosion,collapse; bursting inward
scribble,write hastily
affinity,close connection; relationship
abscond,to go away suddenly (to avoid arrest)
perish,be destroyed decay
articulate,speak distinctly; connect by joints
writ,written order
permeate,spread into every part of
indulgent,inclined to indulge
fission,splitting or division (esp. of cells)
negligent,taking too little care
poseur,a person who attempts to impress by acting unlike himself
erratic,irregular in behaviour or opinion
dormant,in a state of inactivity but awaiting development
commemorate,keep the memory of
dullard,a stupid, insensitive person"
gerontocracy,government ruled by old people
equilibrium,state of being balanced
mischievous,harmful; causing mischief
chisel,steel tool for shaping materials
renowned,celebrated; famous
premature,doing or happening something before the right time
torque,twisting force causing rotation
conjoin,to join together
pivotal,of great importance (others depend on it)
treacherous,not to be trusted, perfidious"
apt,well-suited; quick-witted
connote,Suggest or imply in addition to the precise, literal meaning"
tadpole,form of a frog when it leaves the egg
grumble,to complain
relapse,fall back again
meticulous,giving great attention to details
retrospective,Looking back on past
buoyant,able to float; light-hearted
weigh,measure how heavy something is
rejuvenation,becoming young in nature or appearance
combustion,process of burning
fragile,easily injured broken or destroyed
acumen,Keen, quick, accurate insight or judgment"
console,give comfort or sympathy to
abhor,to hate; to detest
boisterous,noisy; restraint
aggravate,make worse; irritate
flimsy,lacking solidarity, strength"
paradigm,a model example or pattern
stride,walk with long steps
affable,polite and friendly
suffocate,cause or have difficulty in breathing
lampoon,publicly mock or ridicule
massacre,cruel killing of a large number of people
infuriate,fill with fury or rage
